"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2017","    10675.05","    10749.10","    10658.55","    10681.05","       12481812","          868.71"
"29-Mar-2017","    10712.00","    10761.05","    10661.05","    10741.25","       14348282","         1166.19"
"30-Mar-2017","    10734.95","    10767.80","    10692.90","    10730.75","       20741773","         1704.33"
"31-Mar-2017","    10735.60","    10752.35","    10634.90","    10703.25","       17562780","         1504.07"
"03-Apr-2017","    10728.65","    10732.85","    10571.50","    10592.00","        9806177","          764.46"
"05-Apr-2017","    10596.25","    10597.20","    10493.00","    10510.30","       14402806","         1255.56"
"06-Apr-2017","    10499.75","    10545.60","    10475.85","    10538.15","       11496350","         1005.28"
"07-Apr-2017","    10532.45","    10568.80","    10470.55","    10485.75","       13722779","         1159.16"
"10-Apr-2017","    10511.60","    10542.70","    10304.95","    10338.15","       15046330","         1273.86"
"11-Apr-2017","    10341.55","    10422.30","    10332.45","    10398.85","       12461368","         1083.13"
"12-Apr-2017","    10408.15","    10420.35","    10290.50","    10323.45","       10861311","          792.69"
"13-Apr-2017","    10339.85","    10407.15","    10034.60","    10064.20","       22985238","         2093.79"
"17-Apr-2017","    10045.40","    10056.55","     9975.45","    10000.90","       12398068","          977.90"
"18-Apr-2017","    10021.15","    10075.80","     9964.65","     9981.55","       10552794","          837.96"
"19-Apr-2017","     9925.25","    10059.45","     9901.65","     9944.80","       15730735","         1537.27"
"20-Apr-2017","     9965.80","    10056.25","     9948.95","    10039.05","       11563674","          811.62"
"21-Apr-2017","    10083.50","    10103.80","     9978.50","    10008.10","       12520537","          814.25"
"24-Apr-2017","     9979.80","    10070.95","     9938.60","    10058.35","       10060234","          827.69"
"25-Apr-2017","    10081.55","    10113.00","    10038.15","    10091.25","       13270711","         1098.93"
"26-Apr-2017","    10157.60","    10162.65","     9944.40","     9966.75","       25994847","         1650.07"
"27-Apr-2017","     9965.05","    10045.50","     9965.05","    10012.35","       18815065","         1731.16"
"28-Apr-2017","    10020.45","    10023.70","     9920.70","     9943.70","       11365771","          933.62"
"02-May-2017","    10000.80","    10042.85","     9960.20","    10006.35","       10128926","          739.34"
"03-May-2017","    10043.00","    10151.35","     9995.25","    10131.05","       10553768","          954.03"
"04-May-2017","    10155.05","    10170.00","    10055.00","    10106.50","        8851111","          868.92"
"05-May-2017","    10084.50","    10101.95","    10031.10","    10086.30","        8018893","          686.57"
"08-May-2017","    10113.80","    10222.15","    10085.60","    10209.15","        8496429","          637.26"
"09-May-2017","    10246.00","    10294.25","    10211.40","    10279.60","       11780549","          887.03"
"10-May-2017","    10283.35","    10296.45","    10183.80","    10219.55","        8024155","          603.00"
"11-May-2017","    10293.30","    10300.50","    10216.30","    10256.10","       10286401","          885.46"
